Designator,Footprint,Quantity,Value,LCSC Part #
"R32, R44, R62, R69, R87",0402,5,100k,
"R36, R45, R54, R74, R78, R99",0402,6,75k,
R42,0402,1,1.5k,
R60,0402,1,7.87k,
R61,0402,1,360k,
R63,0402,1,560k,
"R64, R70",0402,2,49.9k,
R65,0402,1,150k,
R66,0402,1,301k,
R67,0402,1,18.7k,
R68,0402,1,976k,
R7,0402,1,499R,
R72,0402,1,475k,
R73,0402,1,287k,
R77,0402,1,120,
R79,0603,1,120,
R8,0402,1,3k,
R80,0402,1,4.22k,
R82,0402,1,190k,
R85,2512,1,2m,WSLF25122L000FEB
R86,0402,1,200k,
"R89, R93",0402,2,10,
R90,0603,1,5.1,
R91,0402,1,54.9R,
TC1,Molex_Nano-Fit_105313-xx02_1x02_P2.50mm_Horizontal,1,Thermocouple,
"TP1, TP13, TP14, TP15, TP16, TP17, TP2, TP3, TP4",TestPoint_Pad_D1.0mm,9,TestPoint,
"TP11, TP5, TP6, TP7, TP8",TestPoint_Pad_D1.5mm,5,TestPoint,
TXLED1,0402,1,GREEN_LED,
U1,QFN40P700X700X90-57N,1,ESP32-S3,
U10,SiC437BEDT1GE3,1,SiC438BED-T1-GE3,
U11,SON50P300X300X80-13N-D,1,LM74810,
U12,SOT-23-8,1,INA219AxDCN,
U13,TSSOP-14_4.4x5mm_P0.65mm,1,MAX31856,
U14,QFN65P400X400X100-17N,1,PCA9534RGVR,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U3,SOTFL50P160X60-8N,1,LM66200DRLR,
U4,CONV_MAX77827AEFD+T,1,MAX77827AEFD+T,
U5,SOIC127P599X175-9N,1,SC4215,
U6,SiC437BEDT1GE3,1,SiC437BED-T1-GE3,
U7,ADS131M06IRSNR,1,ADS131M06IPBS,
U8,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,1,PCA9685BS,
U9,TCMT1109-4N,1,782-TCMT1109,
USBLED1,0402,1,WHITE_LED,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,R940000171,
