Designator,Footprint,Quantity,Value,LCSC Part #
J15,Molex_Nano-Fit_105313-xx03_1x03_P2.50mm_Horizontal,1,ServoCH2,
J2,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
J5,PinSocket_2x05_P2.54mm_Vertical,1,GPIO Breakout,
JP1,SmallerSolderJP,1,TermJP,
"JP10, JP12, JP13, JP14, JP17, JP18, JP19, JP20, JP23, JP24, JP25, JP28, JP29, JP30, JP33, JP5, JP6, JP7",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,18,SolderJumper_3_Open,
"JP11, JP15, JP16, JP2, JP21, JP22, JP26, JP27, JP3, JP31, JP32, JP4, JP8, JP9",SmallerSolderJP,14,SolderJumper_2_Open,
L1,0402,1,2.0nH,
L2,0402,1,20nH,
L3,0805,1,1uH,
L4,ETQP5M6M_YLC,1,3.3uH,
"L5, L6",IND_SRP6540-390M,2,SRR6038-5R0Y,
L7,IND_SRP6540-390M,1,3.3uH,
Q1,TSOT-23,1,PMOS,
Q2,LFPAK33,1,BUK9M11-40EX,
"R1, R10, R101, R21, R24, R25, R27, R33, R38, R43, R5, R50, R56, R76, R81, R83, R88, R89, R9, R95",0402,20,10K,
"R100, R22, R37, R48, R55, R75, R92",0402,7,14k,
"R102, R103, R14, R2, R3, R39, R40, R46, R47, R51, R52, R57, R58, R96, R97",0402,15,1k,
"R104, R41, R49, R53, R59, R98",0402,6,49,
"R105, R106",0402,2,TBD,
"R107, R61",0402,2,360k,
R108,0402,1,1M,
R109,0402,1,732k,
"R11, R12, R13, R35, R4, R44, R6",0402,7,470,
R110,0402,1,73.2k,
R111,0402,1,300,
R112,0402,1,681,
"R113, R32, R62, R69, R87",0402,5,100k,
R15,0603,1,0,
"R16, R17",0603,2,60,
"R18, R19, R20",0402,3,5.1k,
R23,0402,1,56k,
R26,0402,1,130k,
"R28, R84",0402,2,2.2,
R29,0402,1,294k,
"R31, R86",0402,2,200k,
R34,0402,1,1.5k,
"R36, R45, R54, R74, R78, R99",0402,6,75k,
R42,0402,1,30k,
R60,0402,1,7.87k,
R63,0402,1,560k,
R64,0402,1,50k,
R65,0603,1,152k,
R66,0402,1,301k,
R67,0402,1,18.7k,
R68,0402,1,976k,
R7,0402,1,499R,
R70,0402,1,51k,
R72,0402,1,475k,
R73,0402,1,287k,
R77,0402,1,120,
R79,0603,1,120,
R8,0402,1,3k,
R82,0402,1,190k,
R90,0603,1,5.1,
R91,0402,1,54.9R,
"TP1, TP2, TP3, TP4",TestPoint_Pad_D1.0mm,4,TestPoint,
"TP5, TP6, TP7, TP8",TestPoint_Pad_D1.5mm,4,TestPoint,
U1,QFN40P700X700X90-57N,1,ESP32-S3,
"U10, U6",SiC437BEDT1GE3,2,SiC437BED-T1-GE3,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U3,SOTFL50P160X60-8N,1,LM66200DRLR,
U4,CONV_MAX77827AEFD+T,1,MAX77827AEFD+T,
U5,SOIC127P599X175-9N,1,SC4215,
U7,ADS131M06IRSNR,1,ADS131M06IPBS,
U9,SOIC127P700X230-4N,1,782-TCMT1109,
USBLED1,0402,1,WHITE_LED,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,R940000171,
